Model,Sharpe Ratio (Annualized),Total Return,Cumulative Return,Mean Return (Daily),Std Return (Daily),Max Drawdown,Annualized Return,Annualized Volatility,Calmar Ratio,Sortino Ratio
CNN+Transformer,0.19915311908211195,38.283817291259766,38.28385543823242,7.843389175832272e-05,0.006250970531255007,-1.9292430877685547,1.9765340723097324,9.923108087096432,1.0245127142561783,0.23002861676043082
OU Model,0.11961804233080744,40.03757468495467,40.03757468495467,8.202689736583194e-05,0.010884787813582196,-5.913927606530393,2.067077813618965,17.279064977066984,0.34952707424697177,0.10756255943853482
