Ticker,Mean,Std,Skewness,Kurtosis,Min,Max
TFC,-0.0001721139065379013,0.011284458219473511,-1.136206305338563,21.657059179991958,-0.15327253066950774,0.07598193857135663
F,-0.000259265403864756,0.015967881381948393,-1.2486268989172151,19.20818458211223,-0.20854285354224453,0.11296851750436877
AON,6.587815790305656e-05,0.010993408800056823,-0.1513449998992705,17.960696268548247,-0.1284357787375755,0.09123188201981586
BALL,-1.9668985626717065e-05,0.013821157502106773,-0.581787147235942,26.561665569043534,-0.20613909953255663,0.1388625179787836
IBKR,3.995712007842196e-05,0.014769073758039854,-0.16565238770794186,4.643133227204835,-0.11063061921581396,0.09849799918676311
PSKY,-0.000497086467687965,0.023892320661853914,-2.175718138227849,34.22738561917587,-0.32873319111914484,0.15730323716909578
UNP,-1.491963936111081e-05,0.010993408543137089,0.265461128334423,8.84916022214511,-0.07631366170206903,0.09830874619778945
AXON,0.00017600730765001947,0.02638745895523031,0.8445354304882472,15.879945897189263,-0.19439962557091098,0.254272716329903
DVA,4.81945830960586e-05,0.01777365201729092,-3.0240302052559818,56.83811546624891,-0.3319743285108937,0.13154083349417064
VMC,-1.5445753916938527e-05,0.01433737904576549,0.4679132471215854,9.253997085997002,-0.10056937461524214,0.14232303893373713
DOV,-3.4735576347009525e-05,0.009667500613460224,0.09837525446560652,7.99606883231152,-0.08295216245498165,0.07991445553298579
MET,-9.731423906088544e-05,0.00976771004389605,-0.3265606241071044,14.738750678381628,-0.09015157382593958,0.10585615004188546
INTC,-4.3813700146586665e-05,0.01696303781211377,-1.9671961173622001,33.348417685254866,-0.26626320765360306,0.12448082014483738
CVX,-0.00016042636418675394,0.010566473897044836,-0.8469761178079082,25.04959434358031,-0.15678391794595786,0.09225030425175564
EIX,8.899609357551462e-06,0.01189462088818377,-1.5889253498084885,29.514244390621105,-0.13465834574946728,0.12856285189007052
AVGO,0.0002878555419912684,0.015636656132456808,1.3617865813864878,23.851014820920007,-0.16081029447043677,0.21666951219127084
PEG,4.2475372863627305e-05,0.008985286275924563,-0.14481414680448595,5.848211296479846,-0.06780771922467677,0.06631261844027138
MCK,4.903912935656709e-05,0.014780269318773898,-2.070294615267026,38.757596572020475,-0.254137454875847,0.1069601980638315
ROL,0.00021248242966978418,0.012427243533832334,-0.8900291003964241,13.734730883764563,-0.11072323371507187,0.0932587226553711
DPZ,0.00017295517311943285,0.016484593848595616,0.8280478429497945,23.02645666366777,-0.13982271829230658,0.22916364236925987
BRO,0.000163290145543883,0.009480618908452209,-2.3022549534469086,39.324491390143216,-0.16148018050701046,0.06514047537121537
CMCSA,-7.41596446016035e-05,0.012426167113268327,-0.7281449596665733,8.614951277876122,-0.10780429343023278,0.0807385679535198
DLTR,-0.00018605463389715266,0.019476307852443493,-1.459183358874943,27.902494379435254,-0.2491161480972464,0.18037923714465162
MCD,5.682524427682413e-05,0.009321783446551173,0.19806191324990188,8.651085521917173,-0.06349510014733088,0.07495527194292384
TT,4.4061834868333487e-05,0.011027111966857147,0.4961598404810106,9.558317945393895,-0.08336762023417463,0.10076395049247312
MTCH,-1.1360826346506314e-05,0.02377687082584146,-0.9083083999205511,18.247272484283027,-0.2566958856196191,0.2009162421710303
EQR,5.383003530777666e-07,0.009778261698128284,-0.20096864943548984,7.52287002207305,-0.08188713731139044,0.08822616392481972
NOC,0.00017555258212525259,0.01194825316483145,-0.05914746816711675,8.09776554120677,-0.08256039414828008,0.09548186463195353
KMB,1.4813044514899699e-06,0.009676221175444512,0.6878555754875737,20.260334981985153,-0.07008508901610913,0.12805041083059052
ES,5.8803721505354634e-05,0.008488411714414529,-0.3308933192058202,8.205425964774346,-0.07203746957361312,0.06412496142816132
CSGP,-0.00012388404060182623,0.015064379300683155,0.5057191217872221,11.672861823737428,-0.13762625881837062,0.13085716431467223
AMAT,0.00012048878613805814,0.014628323364381269,0.30510070106232196,5.638270453967943,-0.08223551024391726,0.11539128715916153
IRM,4.977940826416794e-05,0.014061160752838925,0.6770682935489883,18.458466668086793,-0.11153987386441998,0.18146918387550304
ED,0.0001090400198516484,0.0077188908288033,0.5078900270116231,19.247471407063603,-0.07644958341103007,0.10638170983463544
LMT,0.00016316436593007656,0.010801824189338595,0.3050430577813569,18.22663885600851,-0.12596323482879554,0.11134984840152409
COP,-0.00020100235063879934,0.01247115352871275,0.040821609368987884,8.450459303659283,-0.11334785501276581,0.09857701818724919
MCO,2.435950484687417e-05,0.010092849204423916,-0.4392776476388334,7.875767803326115,-0.07709933300960778,0.07150898917549081
NSC,-1.7032824251292208e-06,0.012111382687330186,0.5922111889660857,9.532940725385323,-0.07671573305735166,0.11558832705769811
CMS,0.00011058680063435474,0.007133963453762907,-0.28712355387757216,7.751427618838994,-0.06605590252343234,0.06574654606656714
TXN,0.0001583850279480854,0.010498295718660155,-0.10581880291792081,8.587186706703678,-0.0843281292041944,0.08102124563667165
EPAM,-7.567427884652963e-05,0.02447164665077843,-6.66414061726176,149.37772189040527,-0.5964630831234548,0.1537179240313454
APO,-5.523502543279338e-05,0.0164642119824786,0.6633604415504575,11.240105851087018,-0.09742177225552366,0.20417622864087057
TER,0.0002817849523848395,0.015376341433992203,-1.478237687791932,30.899904303196212,-0.2191993647769253,0.15773235739358787
CCI,6.834937040949263e-07,0.01068598219323823,-0.3027994099930611,4.421037937110286,-0.07104727460146411,0.04980937043187977
DLR,0.00016797239698583113,0.01294981648207627,-0.052550277759081616,5.095297303068868,-0.07623537810155576,0.09699110325576853
